Songs,"I-words(I, me, my)",Positive Tone,Negative Tone,Social Words,Cognitive Processes,Allure,Moralization,Analytic,Authentic,,,,,,,,,,,
CRAZY - GNARLS BARKLEY,13.07,6.03,2.01,12.56,18.59,9.55,0.5,0.07,99.58,,,,,,,,,,,
MR BRIGHT SIDE - THE KILLERS,10.88,4.91,3.51,7.02,5.96,7.02,0,4,91.31,,,,,,,,,,,
YOUNG FOLKS - PETER BJORN,6.17,3.9,0,15.91,12.99,3.9,0,0.85,87.09,,,,,,,,,,,
WANNABE - SPICE GIRLS,11.03,7.93,1.93,14.7,19.54,7.74,0,5.12,29.1,,,,,,,,,,,
MORPHINE - MICHAEL JACKSON,5.47,1.24,3.98,22.89,2.74,4.23,0.75,14.36,26.6,,,,,,,,,,,
DON'T LET ME DOWN - CHAINSMOKERS,22.82,2.25,1.69,7.89,31.83,13.52,0,0.13,100,,,,,,,,,,,
BAD GUY - BILLIE EILISH,12.45,2.72,9.34,20.62,11.28,7.78,0.39,0.81,40.05,,,,,,,,,,,
BLACK DOG - LED ZEPPELIN,7.02,1.32,0.44,12.72,7.89,14.47,0,35.43,52.18,,,,,,,,,,,
SUMMERTIME SADNESS - LANA DEL REY,11.49,3.04,6.76,7.43,6.76,9.46,0,43.91,99.97,,,,,,,,,,,
THE NUMBER OF THE BEAST - IRON MAIDEN,8.79,2.61,2.28,3.91,13.36,8.79,0.65,50.83,74.93,,,,,,,,,,,
THE TROOPER - IRON MAIDEN,7.45,1.6,4.26,9.57,5.85,6.91,0,37.55,97.28,,,,,,,,,,,
HAPPY NOW - ZEDD,6.02,4.68,2.01,17.06,4.68,7.02,0.33,4.59,96.93,,,,,,,,,,,
STARVING - HAILEE STEINFELD,16.61,0,1.08,8.3,12.64,8.66,0,3.96,99.98,,,,,,,,,,,
"HOP OFF A JET - YOUNG THUG, TRAVIS SCOTT",6.67,2.46,1.4,8.77,2.81,5.26,0.53,82.54,76.52,,,,,,,,,,,
HEAT WAVES - GLASS ANIMALS,8.27,3.62,1.29,8.27,13.18,11.63,0.26,20.03,99.99,,,,,,,,,,,
BABY SHARK - BOUNCE PATROL,0.7,0.18,0,10.68,0.7,0.88,0,74.9,0.9,,,,,,,,,,,
HAPPY - PHARELL WILLIAMS,8.92,10.58,0.41,8.92,19.5,14.52,0,15.26,96.05,,,,,,,,,,,
SKECHERS - DRIPREPORT,13.72,0.88,2.21,15.93,9.73,16.81,0,70.92,97.33,,,,,,,,,,,
YUMMY - JUSTIN BEIBER,6.86,2.84,0.24,12.77,5.2,6.38,0,72.32,70.19,,,,,,,,,,,
ROCK YOU LIKE A HURRICANE - SCORPIONS,6.83,2.73,3.07,9.22,3.07,16.04,1.37,48.47,85.25,,,,,,,,,,,
IMMIGRANT SONG - LED ZEPPELIN,0.63,5,2.5,8.75,3.13,4.38,0,82.22,45.52,,,,,,,,,,,
HIGHWAY STAR - DEEP PURPLE,14.73,2.33,1.55,5.43,1.94,11.24,0,9.17,47.9,,,,,,,,,,,
CRAZY TRAIN - OZZY OSBOURNE,8,9.5,4.5,5.5,11,4,1.5,53.2,66.71,,,,,,,,,,,
WALK - PANTERA,8.37,5.86,1.67,15.48,7.11,6.69,0,7.94,93.26,,,,,,,,,,,
BLANK SPACE - TAYLOR SWIFT,7.62,4.1,3.91,13.87,10.35,10.94,0.2,6.89,81.44,,,,,,,,,,,
CLOSER - THE CHAINSMOKERS,19.13,2.89,0.72,11.91,8.3,11.91,0,1.62,100,,,,,,,,,,,
BLACK AND YELLOW - WIZ KHALIFA,8.14,0.77,0.61,7.68,6.61,8.6,0.15,7.91,62.09,,,,,,,,,,,
WAP - CARDI B,8.19,1.25,1.11,9.17,5.83,7.64,0.28,34.54,62.4,,,,,,,,,,,
